iter	RMSE
193	2500.595723
194	2497.219458
195	2494.33179
196	2490.523882
197	2489.92758
198	2489.35934
199	2486.971741
200	2482.713057
201	2480.489161
202	2478.094032
203	2475.885885
204	2470.88174
205	2468.44418
206	2466.495707
207	2465.985756
208	2463.560932
209	2461.373225
210	2459.712415
211	2458.996052
212	2456.826295
213	2454.794392
214	2452.39546
215	2450.515002
216	2449.389771
217	2448.296392
218	2447.315955
219	2445.602399
220	2444.34368
221	2443.571225
222	2441.08781
223	2438.181588
224	2437.436138
225	2436.995351
226	2434.393509
227	2431.378183
228	2429.900392
229	2429.483152
230	2428.372832
231	2426.065582
232	2424.753364
233	2423.046971
234	2420.667804
235	2420.275728
236	2416.060136
237	2413.424896
238	2412.766484
239	2410.851461
240	2408.134679
241	2407.146204
242	2405.603712
243	2402.503363
244	2401.139916
245	2399.012841
246	2398.055639
247	2396.950999
248	2395.431898
249	2391.900387
250	2390.369627
251	2388.647857
252	2388.028857
253	2387.067573
254	2384.866252
255	2384.286501
256	2381.88102
257	2379.88532
258	2378.433399
259	2378.110285
260	2373.658389
261	2372.131069
262	2370.106775
263	2368.514057
264	2367.600611
265	2365.6687
266	2362.841514
267	2362.271799
268	2360.308067
269	2358.429612
270	2355.233799
271	2354.278048
272	2352.680606
273	2352.38418
274	2350.800028
275	2349.321927
276	2347.932041
277	2346.437458
278	2345.412758
279	2344.931231
280	2342.860466
281	2341.714673
282	2339.981725
283	2338.837891
284	2338.030321
285	2335.961071
286	2332.2504
287	2330.445516
288	2328.304759
289	2328.043182
290	2327.472177
291	2326.158456
292	2324.79751
293	2323.620162
294	2322.521574
295	2321.546778
296	2320.184823
297	2319.530974
298	2317.038233
299	2316.333619
300	2315.302552
301	2314.635169
302	2313.227997
303	2311.69439
304	2310.817073
305	2307.596027
306	2307.176787
307	2305.205642
308	2302.42342
309	2300.040739
310	2297.622533
311	2296.470671
312	2296.151818
313	2294.593691
314	2293.261215
315	2291.506966
316	2289.872097
317	2289.175286
318	2288.800247
319	2286.940616
320	2283.854324
321	2282.772561
322	2281.792124
323	2281.009173
324	2279.85257
325	2278.949064
326	2278.179778
327	2276.730171
328	2275.782575
329	2275.00974
330	2274.726929
331	2273.504246
332	2272.50828
333	2270.970661
334	2269.721966
335	2269.228957
336	2267.94766
337	2266.352928
338	2264.988912
339	2264.163843
340	2263.091625
341	2262.325553
342	2260.242609
343	2257.808807
344	2257.011864
345	2256.472029
346	2255.189148
347	2254.856049
348	2254.026899
349	2252.192557
350	2250.878158
351	2248.1014
352	2246.757677
353	2245.922148
354	2243.46505
355	2242.116559
356	2241.406687
357	2239.122276
358	2236.357593
359	2234.145573
360	2232.3012
361	2231.123298
362	2230.402594
363	2228.320447
364	2225.917464
365	2223.3694
366	2222.228873
367	2221.05684
368	2219.972534
369	2218.280057
370	2216.879326
371	2215.682108
372	2214.451346
373	2212.850258
374	2212.175941
375	2211.9257
376	2211.015455
377	2210.485357
378	2209.579634
379	2209.307624
380	2208.326712
381	2207.179501
382	2205.855835
383	2204.412506
384	2203.300244
385	2201.764738
386	2201.430653
387	2200.752006
388	2200.477967
389	2198.915924
390	2197.897359
391	2197.486225
392	2196.848008
393	2196.542907
394	2195.915393
395	2193.433455
396	2192.817527
397	2191.665048
398	2190.526706
399	2189.237524
400	2187.731605
401	2187.357704
402	2186.636036
403	2185.330052
404	2184.040185
405	2183.397005
406	2182.084087
407	2181.097226
408	2180.278522
409	2178.747828
410	2177.327063
411	2176.194673
412	2175.68792
413	2174.879706
414	2173.611826
415	2172.658169
416	2171.646452
417	2170.860437
418	2170.015324
419	2169.833115
420	2169.026085
421	2168.370654
422	2167.126488
423	2166.355372
424	2164.654668
425	2163.931441
426	2163.647666
427	2162.842087
428	2161.951869
429	2160.783447
430	2159.102707
431	2158.019998
432	2156.689648
433	2156.074128
434	2155.9102
435	2155.072854
436	2154.346401
437	2152.685803
438	2152.277781
439	2150.595108
440	2149.272609
441	2148.763023
442	2147.885816
443	2147.564965
444	2146.614627
445	2144.680095
446	2143.02415
447	2141.918784
448	2141.152515
449	2140.865585
450	2139.715553
451	2138.183164
452	2137.470122
453	2136.444812
454	2135.564723
455	2134.516353
456	2133.955087
457	2133.020853
458	2132.071006
459	2131.627605
460	2130.853376
461	2128.047928
462	2126.924737
463	2124.88201
464	2123.593372
465	2122.903271
466	2122.350847
467	2120.672541
468	2119.682139
469	2119.029587
470	2117.830404
471	2115.139112
472	2114.309805
473	2112.685564
474	2111.166495
475	2108.872997
476	2107.997047
477	2107.177354
478	2106.803058
479	2105.293776
480	2104.736877
481	2103.972434
482	2103.283397
483	2102.157141
484	2101.44923
485	2099.542683
486	2098.526327
487	2097.616318
488	2096.48561
489	2094.254665
490	2093.668011
491	2093.069431
492	2092.687716
493	2092.155374
494	2090.487644
495	2090.031999
496	2089.879679
497	2089.344361
498	2088.349004
499	2087.261977
500	2086.538467
501	2085.730002
502	2084.869676
503	2084.335227
504	2082.950908
505	2082.201798
506	2080.976879
507	2080.383447
508	2079.977911
509	2079.48228
510	2078.229649
511	2077.700635
512	2076.727682
513	2075.786873
514	2074.715508
515	2074.575068
516	2073.458751
517	2073.036488
518	2072.424616
519	2071.312932
520	2070.769286
521	2070.212509
522	2069.634321
523	2068.956159
524	2068.309993
525	2068.038863
526	2067.407713
527	2066.508745
528	2065.498414
529	2064.90018
530	2064.299438
531	2063.733984
532	2062.831039
533	2062.560312
534	2061.40287
535	2060.570507
536	2060.052267
537	2059.560866
538	2058.79191
539	2058.147365
540	2057.2797
541	2056.43678
542	2054.880649
543	2054.218224
544	2053.511636
545	2052.516217
546	2051.541453
547	2051.168648
548	2050.81457
549	2049.34901
550	2048.881718
551	2048.437904
552	2047.687198
553	2047.071734
554	2045.765768
555	2044.934028
556	2044.250159
557	2042.645028
558	2041.51676
559	2041.346464
560	2040.964001
561	2040.015023
562	2039.494252
563	2038.856957
564	2038.153015
565	2037.36709
566	2036.915437
567	2036.794841
568	2035.737487
569	2034.861768
570	2034.379619
571	2033.689117
572	2032.89585
573	2032.668113
574	2032.322319
575	2031.994211
576	2031.481558
577	2030.782932
578	2029.267932
579	2028.344039
580	2027.0157
581	2026.651813
582	2025.9637
583	2025.414564
584	2024.319476
585	2023.206908
586	2022.627993
587	2022.059561
588	2021.273633
589	2020.898271
590	2020.406035
591	2019.808799
592	2019.389479
593	2019.017819
594	2018.50612
595	2018.106593
596	2017.566615
597	2016.89085
598	2015.927093
599	2015.241434
600	2014.812998
601	2014.114066
602	2013.637265
603	2013.141009
604	2012.354296
605	2011.659978
606	2011.351817
607	2011.016349
608	2010.005521
609	2009.197179
610	2008.859607
611	2008.120077
612	2008.009392
613	2007.612417
614	2006.901582
615	2006.592401
616	2005.486224
617	2005.042655
618	2004.149556
619	2003.491145
620	2002.461129
621	2002.088931
622	2001.734659
623	2001.091734
624	2000.766485
625	2000.264617
626	1999.772122
627	1998.958591
628	1998.657354
629	1998.039642
630	1997.096283
631	1996.485063
632	1995.264335
633	1994.473086
634	1993.618495
635	1992.833051
636	1991.925807
637	1991.450567
638	1990.750026
639	1990.336291
640	1989.518212
641	1988.706818
642	1988.422036
643	1988.065148
644	1987.636203
645	1986.71841
646	1986.591701
647	1986.161409
648	1985.47592
649	1984.618129
650	1984.516313
651	1983.430935
652	1982.986709
653	1982.890676
654	1982.335269
655	1982.219452
656	1982.109035
657	1982.030497
658	1981.116781
659	1981.00177
660	1980.548623
661	1980.384577
662	1979.351983
663	1978.635318
664	1978.509704
665	1978.23299
666	1977.579979
667	1976.924437
668	1976.582259
669	1975.577441
670	1974.530181
671	1974.094753
672	1973.614056
673	1972.866619
674	1972.134426
675	1971.763467
676	1971.64588
677	1970.960724
678	1970.717185
679	1970.190612
680	1969.479241
681	1969.112417
682	1968.460788
683	1967.89441
684	1967.155581
685	1966.847964
686	1966.544875
687	1965.742026
688	1964.875603
689	1964.446837
690	1964.021897
691	1963.909871
692	1963.381395
693	1962.774914
694	1962.652014
695	1962.163726
696	1961.370856
697	1960.783485
698	1960.677779
699	1960.625029
700	1960.532624
701	1960.48207
702	1960.38481
703	1959.633517
704	1958.719295
705	1958.310595
706	1957.543435
707	1957.45017
708	1956.980431
709	1956.866799
710	1956.059569
711	1955.640593
712	1954.285716
713	1953.901558
714	1953.618094
715	1953.529835
716	1953.251215
717	1953.168268
718	1952.499364
719	1952.245921
720	1951.909212
721	1951.543601
722	1951.215232
723	1950.938765
724	1950.46083
725	1949.844268
726	1949.766753
727	1949.692926
728	1949.438633
729	1948.870062
730	1948.772628
731	1948.534928
732	1947.934064
733	1947.257448
734	1946.877454
735	1946.797355
736	1946.36315
737	1945.755379
738	1944.540581
739	1943.81776
740	1943.15949
741	1942.873783
742	1942.311954
743	1941.755798
744	1941.488663
745	1941.423156
746	1941.125828
747	1940.175505
748	1940.113004
749	1940.050579
750	1939.355714
751	1939.240113
752	1938.930109
753	1938.575366
754	1937.788989
755	1936.589731
756	1936.094256
757	1935.799209
758	1935.141966
759	1934.760581
760	1934.112399
761	1933.369222
762	1933.122096
763	1932.003215
764	1931.682146
765	1931.400752
766	1931.118799
767	1931.01179
768	1930.525043
769	1930.33442
770	1929.915775
771	1929.270368
772	1928.403515
773	1927.867256
774	1927.454285
775	1926.565511
776	1926.165861
777	1925.645251
778	1925.117834
779	1924.444094
780	1924.134369
781	1923.285056
782	1923.22931
783	1922.969401
784	1922.618025
785	1922.332827
786	1921.653004
787	1921.217866
788	1920.806914
789	1920.057542
790	1919.646073
791	1919.384012
792	1918.874293
793	1918.015187
794	1917.3607
795	1916.699349
796	1916.237457
797	1916.18319
798	1915.129546
799	1914.684499
800	1914.438237
801	1914.066664
802	1913.586948
803	1912.869804
804	1912.62086
805	1912.527636
806	1912.476415
807	1911.76203
808	1911.713037
809	1911.283027
810	1910.774793
811	1910.437861
812	1910.354633
813	1909.982793
814	1909.452382
815	1909.189242
816	1908.655999
817	1907.939316
818	1907.128003
819	1906.800964
820	1906.235896
821	1905.980234
822	1905.557126
823	1905.44648
824	1905.100231
825	1904.536085
826	1903.960161
827	1903.566548
828	1903.121568
829	1902.902225
830	1902.441423
831	1901.716118
832	1900.94873
833	1900.47562
834	1899.875031
835	1899.715548
836	1899.146831
837	1898.552269
838	1897.748996
839	1897.074068
840	1896.62685
841	1896.328357
842	1895.643083
843	1895.465427
844	1895.176026
845	1893.898917
846	1893.629244
847	1893.191187
848	1892.580797
849	1892.074127
850	1891.644924
851	1891.047667
852	1890.629865
853	1890.558311
854	1890.138822
855	1889.335104
856	1889.021539
857	1888.612066
858	1887.789029
859	1887.221903
860	1886.865183
861	1886.194819
862	1885.770414
863	1885.694825
864	1885.365745
865	1885.262764
866	1885.068519
867	1884.041212
868	1883.505886
869	1883.306667
870	1882.894704
871	1882.20498
872	1881.873926
873	1881.340455
874	1881.023922
875	1880.674536
876	1880.514892
877	1880.151762
878	1879.425123
879	1878.671961
880	1878.435899
881	1878.097394
882	1877.396741
883	1876.839207
884	1875.849503
885	1875.301368
886	1875.056363
887	1873.659571
888	1873.263009
889	1872.53166
890	1872.080905
891	1871.490687
892	1871.08435
893	1870.203917
894	1869.513275
895	1868.903888
896	1868.438702
897	1867.968302
898	1867.508357
899	1867.408576
900	1867.095117
901	1866.474428
902	1866.236032
903	1865.805511
904	1865.651031
905	1865.058053
906	1864.384091
907	1864.083855
908	1863.795853
909	1863.641087
910	1863.085654
911	1862.492884
912	1862.229147
913	1861.687382
914	1860.997256
915	1860.95997
916	1859.943411
917	1859.502052
918	1858.944063
919	1858.774594
920	1858.561267
921	1858.413424
922	1857.786399
923	1857.062677
924	1856.782737
925	1856.435294
926	1856.287574
927	1855.724143
928	1855.479172
929	1855.062525
930	1854.519067
931	1854.060377
932	1853.769749
933	1853.523525
934	1853.040783
935	1852.574231
936	1852.188299
937	1852.031257
938	1851.615971
939	1851.338277
940	1851.095525
941	1850.828452
942	1850.42501
943	1850.256114
944	1849.820144
945	1849.555394
946	1849.246964
947	1848.766633
948	1848.391484
949	1848.159673
950	1847.950246
951	1847.42815
952	1846.772796
953	1846.494111
954	1846.1143
955	1846.048485
956	1845.804736
957	1845.699152
958	1844.744592
959	1844.304315
960	1843.606911
961	1843.270239
962	1842.646577
963	1842.365396
964	1842.131964
965	1841.40617
966	1841.184234
967	1840.94162
968	1840.657359
969	1839.928651
970	1839.647846
971	1839.302626
972	1838.816536
973	1838.589956
974	1838.541472
975	1838.321098
976	1838.28666
977	1837.939455
978	1837.36629
979	1837.065174
980	1836.785722
981	1836.319658
982	1835.375803
983	1835.108209
984	1834.656092
985	1834.376889
986	1834.104787
987	1833.689964
988	1833.288336
989	1832.648542
990	1832.186137
991	1831.980047
992	1831.034613
993	1830.285101
994	1829.870343
995	1829.529376
996	1829.251519
997	1829.040603
998	1828.837344
999	1828.431962
